text,label
"ничего видеть, потому что тотчас же после 'njuj откуда-то стали стрелять","ничего видеть, потому что тотчас же после этого откуда-то стали стрелять"
dshf;tybt тревоги и беспокойства. выражение это особенно заметно было,выражение тревоги и беспокойства. выражение это особенно заметно было
"расчет карая был ошибочен. николай уже не lfktrj впереди себя видел тот лес,","расчет карая был ошибочен. николай уже не далеко впереди себя видел тот лес,"
"каждый hfp при этом забегал вперед, боясь","каждый раз при этом забегал вперед, боясь"
"yf слугу, который безотходно стоял у изголовья постели.","на слугу, который безотходно стоял у изголовья постели."
"хорошо. «распишитесь, говорит, у комиссионера, а дело ваше передастся по команде». прихожу к комиссионеру.","хорошо. «распишитесь, говорит, у комиссионера, а дело ваше передастся по команде». прихожу к комиссионеру."
"сморщась, проговорил пьер. – ты ненавидишь, так измени ее, очисти себя, и по","сморщась, проговорил пьер. – ты ненавидишь, так измени ее, очисти себя, и по"
делались с ним нежными и любящими. столь сердитая старшая из,делались с ним нежными и любящими. столь сердитая старшая из
"ее ридикюль, ездил с ней кататься. когда же это началось, когда","ее ридикюль, ездил с ней кататься. когда же это началось, когда"
платье его дамы. наташа cvjnhtkf на них и готова была,платье его дамы. наташа смотрела на них и готова была
"исплаканным, бледным лицом, и на толстого, большого пьера, который, jgecnbd голову, покорно следовал за","исплаканным, бледным лицом, и на толстого, большого пьера, который, опустив голову, покорно следовал за"
"и два hfpf выслуживался. – я никому не позволю себе говорить,","и два раза выслуживался. – я никому не позволю себе говорить,"
"по столу так крепко, что стол чуть не упал и","по столу так крепко, что стол чуть не упал и"
в комнате послышался шум шагов и платья элен.,в комнате послышался шум шагов и платья элен.
"бывает и бальными платьями), красную метину. – 'nj я","бывает и бальными платьями), красную метину. – это я"
"прикинуть мою наташу, я бы съездил, тут два шага,","прикинуть мою наташу, я бы съездил, тут два шага,"
и ростов сидели теперь против пьера и казались очень веселы. ростов весело,и ростов сидели теперь против пьера и казались очень веселы. ростов весело
"и спросил у графа, которая его дочь? – charmante![468 - прелесть!]","и спросил у графа, которая его дочь? – charmante![468 - прелесть!]"
полк на походе. хотя слова ghbrfpf и,полк на походе. хотя слова приказа и
"улыбаясь, слушала. – ежели еще год бонапарте останется на престоле франции,","улыбаясь, слушала. – ежели еще год бонапарте останется на престоле франции,"
"видом, который говорил, xnj она не допускала возможности, чтобы кто-либо","видом, который говорил, что она не допускала возможности, чтобы кто-либо"
"же подобрала frrjhls к песне. в десятом часу за наташей и петей приехали линейка, дрожки","же подобрала аккорды к песне. в десятом часу за наташей и петей приехали линейка, дрожки"
"в гостиной жены (а он ,sk почти постоянно) физически действовало",в гостиной жены (а он был почти постоянно) физически действовало
"предложение lzl.irb было принято, за дрожками послали охотника в отрадное; а","предложение дядюшки было принято, за дрожками послали охотника в отрадное; а"
"kbwt сперанского, и физиономия его много выиграла от этого. вероятно, мысль князя андрея","лице сперанского, и физиономия его много выиграла от этого. вероятно, мысль князя андрея"
"слез и сам ujnjd был заплакать. – успокойтесь, княгиня. вам","слез и сам готов был заплакать. – успокойтесь, княгиня. вам"
"день, по совету марьи дмитриевны, граф илья андреич gjt[fk с наташей к","день, по совету марьи дмитриевны, граф илья андреич поехал с наташей к"
"все это было совершенно так, как он","все это было совершенно так, как он"
чтобы слышать их яснее. – это у меня мой митька-кучер… я,чтобы слышать их яснее. – это у меня мой митька-кучер… я
"говорил он. – никаких извинений, ничего","говорил он. – никаких извинений, ничего"
"валяных сапогах на худых, костлявых ногах, проезжий сел на диван,","валяных сапогах на худых, костлявых ногах, проезжий сел на диван,"
в продолжение dctuj вечера. поздно вечером,в продолжение всего вечера. поздно вечером
как на основании таких ;t бедных,как на основании таких же бедных
пьер причислял себя b себе,пьер причислял себя и себе
все сжималось rfr будто в,все сжималось как будто в
"этих случаях надо поступать, как m-lle bourienne, yj","этих случаях надо поступать, как m-lle bourienne, но"
"и замарать весь полк? из-за одного негодяя весь полк осрамить? так, что ли, по-вашему? а","и замарать весь полк? из-за одного негодяя весь полк осрамить? так, что ли, по-вашему? а"
"a la guerre, on vit deux masses","a la guerre, on vit deux masses"
"из неловкого положения и поставив в него другого, сделался jgznm совершенно приятен. –","из неловкого положения и поставив в него другого, сделался опять совершенно приятен. –"
"назначенных местах. не njkmrj генералы в полной парадной форме, с перетянутыми донельзя","назначенных местах. не только генералы в полной парадной форме, с перетянутыми донельзя"
"ей все, что говорится в таких случаях, сказать, что он любит ее и","ей все, что говорится в таких случаях, сказать, что он любит ее и"
"педали станка, обтер стамеску, кинул ее в кожаный карман, ghbltkfyysq к станку, и, подойдя к","педали станка, обтер стамеску, кинул ее в кожаный карман, приделанный к станку, и, подойдя к"
"соня отстранила то зеркало, которое jyf держала,","соня отстранила то зеркало, которое она держала,"
",s просящее прощения. виконту, который видел его в","бы просящее прощения. виконту, который видел его в"
"адъютант бонапарте еще не приехал в отряд мюрата, и сражение еще не начиналось.","адъютант бонапарте еще не приехал в отряд мюрата, и сражение еще не начиналось."
"подойдя к ним, elbdktyyj смотрел на озлобленное, потерявшее","подойдя к ним, удивленно смотрел на озлобленное, потерявшее"
если недоставало кавалера. молодые дамы и,если недоставало кавалера. молодые дамы и
"ученицы, bp которых лучшая была наташа, отличавшаяся своею грациозностью; но на этом, последнем бале танцевали","ученицы, из которых лучшая была наташа, отличавшаяся своею грациозностью; но на этом, последнем бале танцевали"
"вас им попотчевать. извините, виконт, я буду рассказывать по-русски; byfxt пропадет","вас им попотчевать. извините, виконт, я буду рассказывать по-русски; иначе пропадет"
"закоченели, мороз был. бросил вожжи – держи, мол, ваше сиятельство, сам, так в","закоченели, мороз был. бросил вожжи – держи, мол, ваше сиятельство, сам, так в"
",kfujlfh. вас. государь император, вероятно, пожелает вас","благодарю вас. государь император, вероятно, пожелает вас"
"было собраться обычное bujhyjt общество, после которого обыкновенно шла попойка, кончавшаяся одним из","было собраться обычное игорное общество, после которого обыкновенно шла попойка, кончавшаяся одним из"
"положение. все его так знают, так ценят.","положение. все его так знают, так ценят."
"и j,obvb распоряжениями и постоянно занимаясь",и общими распоряжениями и постоянно занимаясь
"пальцем за рукав: – attendez, j’ai вуы vues sur vous pour ce soir.[295 -","пальцем за рукав: – attendez, j’ai des vues sur vous pour ce soir.[295 -"
"враждебного тона, с которым не могла не обращаться с ytq","враждебного тона, с которым не могла не обращаться с ней"
"l’a perdu, voila су que nous disons,","l’a perdu, voila ce que nous disons,"
"чтобы в три часа приехать. а? – как зарежешь, на чем поедем? – сказал","чтобы в три часа приехать. а? – как зарежешь, на чем поедем? – сказал"
"– мало того, что я знаю все то, xnj есть во мне, надо,","– мало того, что я знаю все то, что есть во мне, надо,"
мыслей b можем сказать только прусскому королю и другим: «тем,мыслей и можем сказать только прусскому королю и другим: «тем
"в петербурге не удалась борису, и он c","в петербурге не удалась борису, и он с"
свою раненную в fecnthkbwrjv сражении правую руку и держал совершенно ненужную шпагу в,свою раненную в аустерлицком сражении правую руку и держал совершенно ненужную шпагу в
заведена e старого графа. iii,заведена у старого графа. iii
сам с сыном. старый болконский всегда был невысокого мнения j характере князя,сам с сыном. старый болконский всегда был невысокого мнения о характере князя
"он человек в сером сюртуке, очень желавший, чтоб я ему говорил «ваше","он человек в сером сюртуке, очень желавший, чтоб я ему говорил «ваше"
и cdjt знание всех светских обстоятельств. –,и свое знание всех светских обстоятельств. –
"иноходью, озабоченно, торопливо похаживал d своих мягких сапогах из столовой в гостиную, поспешно и","иноходью, озабоченно, торопливо похаживал в своих мягких сапогах из столовой в гостиную, поспешно и"
"обманы. спустившись рысью под гору, jy уже","обманы. спустившись рысью под гору, он уже"
"которое было закрыто только одеждой. и, раз увидав это, он","которое было закрыто только одеждой. и, раз увидав это, он"
"ты думаешь, мой друг? – сказала анна михайловна. мысль остаться","ты думаешь, мой друг? – сказала анна михайловна. мысль остаться"
"то зверь. в польше убил было жида,","то зверь. в польше убил было жида,"
"дом конде.] – говорил он. княгиня,","дом конде.] – говорил он. княгиня,"
шаг своей лошади с ifujv роты. – я как? – отвечал холодно долохов. – как,шаг своей лошади с шагом роты. – я как? – отвечал холодно долохов. – как
"гвардии императора александра, – сказал первый, указывая на раненого русского","гвардии императора александра, – сказал первый, указывая на раненого русского"
"церкви была часовня над могилой маленькой княгини, и d","церкви была часовня над могилой маленькой княгини, и в"
"сиденье, это на правую сторону. княжна марья встала","сиденье, это на правую сторону. княжна марья встала"
"квартире и несколько недель, пока старик оправлялся, содержал их. товарищ ростова, разговорившись о женщинах,","квартире и несколько недель, пока старик оправлялся, содержал их. товарищ ростова, разговорившись о женщинах,"
"мы не в отрадном, f","мы не в отрадном, а"
сказала княжна марья. yj он злобно и вместе страдальчески нахмурился на нее,сказала княжна марья. но он злобно и вместе страдальчески нахмурился на нее
"относя причину беспорядков к ,tcnjkrjdsv немцам, все убедились в том, что происходит вредная","относя причину беспорядков к бестолковым немцам, все убедились в том, что происходит вредная"
"легкомысленным весельем. несмотря на то, что анатоль в женском обществе cnfdbk себя обыкновенно в положение","легкомысленным весельем. несмотря на то, что анатоль в женском обществе ставил себя обыкновенно в положение"
"блестящими глазами и взъерошенными волосами, сидел, откинув ножку назад, у rkfdbrjhl","блестящими глазами и взъерошенными волосами, сидел, откинув ножку назад, у клавикорд"
"раз, – сказал сверху женский голос, который сейчас epyfk","раз, – сказал сверху женский голос, который сейчас узнал"
"приезда из петербурга. анна михайловна, с своим исплаканным и приятным лицом, подвинулась ближе к","приезда из петербурга. анна михайловна, с своим исплаканным и приятным лицом, подвинулась ближе к"
"вопрос только в том, уничтожено ли оно, или нет. ежели нет, то как скоро все","вопрос только в том, уничтожено ли оно, или нет. ежели нет, то как скоро все"
"графа безухова дошло до нас прежде вашего письма, и мой отец был очень","графа безухова дошло до нас прежде вашего письма, и мой отец был очень"
"мне jyb бегут? и зачем? убить меня? меня, кого так любят все?» ему","мне они бегут? и зачем? убить меня? меня, кого так любят все?» ему"
"восторженно любовалась нарядом своей госпожи, когда она в желтом платье с шифром вышла в гостиную.","восторженно любовалась нарядом своей госпожи, когда она в желтом платье с шифром вышла в гостиную."
"невозможного, призрачного и порочного счастия. «князь андрей любил жену, она","невозможного, призрачного и порочного счастия. «князь андрей любил жену, она"
"фланга уже спустились. – еще успеем, ваше превосходительство, – сквозь зевоту ghjujdjhbk кутузов. – успеем!","фланга уже спустились. – еще успеем, ваше превосходительство, – сквозь зевоту проговорил кутузов. – успеем!"
приезда молодого князя андрея с княгиней; но ожидание не нарушило стройного,приезда молодого князя андрея с княгиней; но ожидание не нарушило стройного
"xnj он сам не танцует только оттого, что не хочет, а не оттого, что не","что он сам не танцует только оттого, что не хочет, а не оттого, что не"
"чем-то засмеялась, сливались в веселое лепетанье, похожее на пение птиц. – non, laissez-moi,[317 -","чем-то засмеялась, сливались в веселое лепетанье, похожее на пение птиц. – non, laissez-moi,[317 -"
"dsceyeditujcz из двери французского офицера, это","высунувшегося из двери французского офицера, это"
борису собирались на обеды и завтраки французские офицеры из,борису собирались на обеды и завтраки французские офицеры из
"князю андрею, рассказал, как бонапарт, желая испытать маркова, нашего посланника, нарочно уронил перед ним платок","князю андрею, рассказал, как бонапарт, желая испытать маркова, нашего посланника, нарочно уронил перед ним платок"
"прибежали в гостиную, так что всем совестно сделалось","прибежали в гостиную, так что всем совестно сделалось"
"она cnfhjve графу, шедшему за","она старому графу, шедшему за"
– вставила m-lle бурьен. – et moi qui,– вставила m-lle бурьен. – et moi qui
"douleur уе le desespoir, qui montre la consolation possible.[491 - это луч света в","douleur et le desespoir, qui montre la consolation possible.[491 - это луч света в"
"как совершенно случайно он узнал так какого-то офицера и ghb,kbpbk к себе.",как совершенно случайно он узнал так какого-то офицера и приблизил к себе.
"свой угол, ult можно быть","свой угол, где можно быть"
"любил, и не одну inere он знал за каждым из них,","любил, и не одну штуку он знал за каждым из них,"
"нехог’ошо, на меня смотг’ите! – закричал денисов, которому не стоялось на месте и","нехог’ошо, на меня смотг’ите! – закричал денисов, которому не стоялось на месте и"
"нем, мало внушало ему edf;tybz к этому человеку. «он – военный министр, доверенное лицо государя","нем, мало внушало ему уважения к этому человеку. «он – военный министр, доверенное лицо государя"
"боишься, лиза? я не могу понять, – crfpfk он. – вот","боишься, лиза? я не могу понять, – сказал он. – вот"
"раненые сползались по два, по nhb вместе, и слышались неприятные,","раненые сползались по два, по три вместе, и слышались неприятные,"
"– женщины, – сказал тихим, чуть","– женщины, – сказал тихим, чуть"
"и ближайшие не были виноваты, потому что их давили еще сильнее. –","и ближайшие не были виноваты, потому что их давили еще сильнее. –"
"в двенадцать часов, отделившись от nhtnmtq колонны,","в двенадцать часов, отделившись от третьей колонны,"
"бы смела, – я, лишенная всех тех, кто vyt дорог?","бы смела, – я, лишенная всех тех, кто мне дорог?"
"употребил то самое наименование молодого человека – jeune homme, под которым болконский в первый","употребил то самое наименование молодого человека – jeune homme, под которым болконский в первый"
его возможность. говорили о сражении и тоже yt,его возможность. говорили о сражении и тоже не
"которого он жил, и был смешон, взволнован b глуп (как должен быть","которого он жил, и был смешон, взволнован и глуп (как должен быть"
"и вызвала к себе бориса. – борис, подите сюда, – сказала она с значительным и","и вызвала к себе бориса. – борис, подите сюда, – сказала она с значительным и"
"отвечая ни слова на entitybz сони, легла в постель и долго","отвечая ни слова на утешения сони, легла в постель и долго"
"ни малейшего интереса при рассказе, rfr","ни малейшего интереса при рассказе, как"
"надо. – и она, достав батистовый платок, терла им ;bktn мужа. – сейчас, сейчас.","надо. – и она, достав батистовый платок, терла им жилет мужа. – сейчас, сейчас."
"года. «я сам знаю, как мы не dkfcnys в своих симпатиях и антипатиях, – думал","года. «я сам знаю, как мы не властны в своих симпатиях и антипатиях, – думал"
"как и в театре, чувство тщеславного удовольствия, что она","как и в театре, чувство тщеславного удовольствия, что она"
"только прикрытое серым платьем. «но нет, отчего же прежде","только прикрытое серым платьем. «но нет, отчего же прежде"
"с удивлением. – не то xnj не помню, – я","с удивлением. – не то что не помню, – я"
"перехода вперед, и неприятельские аванпосты после rjhjnrb[ перестрелок","перехода вперед, и неприятельские аванпосты после коротких перестрелок"
"de dieu, cette parole est terriblement vraie; je plains ду prince basile","de dieu, cette parole est terriblement vraie; je plains le prince basile"
"ногами, дико и вместе с тем ghjcnj смотрел на","ногами, дико и вместе с тем просто смотрел на"
жареный гусь или поросенок. yj ни на чем,жареный гусь или поросенок. но ни на чем
"никому ничего, – crfpfkf вера. – madame","никому ничего, – сказала вера. – madame"
"от радости, волнения и стыда не был","от радости, волнения и стыда не был"
"j таких пустяках?» – думает пьер. – да, из ольмюца, – отвечает он","о таких пустяках?» – думает пьер. – да, из ольмюца, – отвечает он"
"молотком, все сели по местам, и один прочел поучение о необходимости","молотком, все сели по местам, и один прочел поучение о необходимости"
что-то подсевшему к ней борису. jn[jlbd целую масть и забрав к удовольствию своего,что-то подсевшему к ней борису. отходив целую масть и забрав к удовольствию своего
"– закричал в это время еще новый голос, b ругай, красный","– закричал в это время еще новый голос, и ругай, красный"
"а я скажу, что ежели что-нибудь сделано","а я скажу, что ежели что-нибудь сделано"
"страсти и увлечения, которых возможности она не признавала. с раннего утра – в","страсти и увлечения, которых возможности она не признавала. с раннего утра – в"
"- пойдемте, я вас провожу. старайтесь плакать: ybxnj так не","- пойдемте, я вас провожу. старайтесь плакать: ничто так не"
"и в воображении представлялся то государь, то денисов, то московские воспоминания, и jy опять","и в воображении представлялся то государь, то денисов, то московские воспоминания, и он опять"
"ничего не понимала из того, что она слышала; она думала только","ничего не понимала из того, что она слышала; она думала только"
слову jy прибавлял: mais qu’on ne fasse,слову он прибавлял: mais qu’on ne fasse
"yt быть! только одно, в моем доме больше","не быть! только одно, в моем доме больше"
"xnj,s женить сына на дочери этого",чтобы женить сына на дочери этого
"и послано было за графиней. пьер видел растерянного графа b заплаканную соню,","и послано было за графиней. пьер видел растерянного графа и заплаканную соню,"
предписано было денисову сдать старшему по себе эскадрон и zdbnmcz,предписано было денисову сдать старшему по себе эскадрон и явиться
"amie, la parole de notre divin sauveur qu’il уые plus aise а un chameau","amie, la parole de notre divin sauveur qu’il est plus aise а un chameau"
связей в москве и был,связей в москве и был
"смеялись. на верхнем, почетном конце стола все были, казалось, dtctks и","смеялись. на верхнем, почетном конце стола все были, казалось, веселы и"
"заложив большой палец правой руки за застегнутую пуговицу мундира, с выгнутой","заложив большой палец правой руки за застегнутую пуговицу мундира, с выгнутой"
противуположных лож. lfdyj не испытанное,противуположных лож. давно не испытанное
gj кабинету и послал тихона к марье богдановне спросить: что? – только скажи: князь,по кабинету и послал тихона к марье богдановне спросить: что? – только скажи: князь
она просила своим взглядом e,она просила своим взглядом у
"граф. – хоть ,s мужчине впору! – как не дивиться? смело, ловко! – а николаша","граф. – хоть бы мужчине впору! – как не дивиться? смело, ловко! – а николаша"
"хорош, нечего сказать! хорош мальчик!.. отец на одре лежит, а он забавляется, квартального на медведя","хорош, нечего сказать! хорош мальчик!.. отец на одре лежит, а он забавляется, квартального на медведя"
"лагерю измайловского полка, он думал о том, как он поразит ,jhbcf и всех","лагерю измайловского полка, он думал о том, как он поразит бориса и всех"
"en a point. le ьфкусрфд devient impatient, se met lui-meme","en a point. le marechal devient impatient, se met lui-meme"
"поручиков попал в императоры. что ж,","поручиков попал в императоры. что ж,"
"один из только что пришедших к браунау пехотных полков, ожидая смотра главнокомандующего, стоял в gjkevbkt","один из только что пришедших к браунау пехотных полков, ожидая смотра главнокомандующего, стоял в полумиле"
"стал глядеть в глаза александру, как будто он спрашивал александра: все ли еще","стал глядеть в глаза александру, как будто он спрашивал александра: все ли еще"
"руку. друзья молчали. ни тот, ни другой не начинал говорить.","руку. друзья молчали. ни тот, ни другой не начинал говорить."
"резервов и правый фланг багратиона стояли еще неподвижно, но на левом фланге rjkjyys пехоты, кавалерии","резервов и правый фланг багратиона стояли еще неподвижно, но на левом фланге колонны пехоты, кавалерии"
"ударяя по столу, кричал ybrjkfq весьма некстати, по понятиям своих собеседников, но весьма последовательно по","ударяя по столу, кричал николай весьма некстати, по понятиям своих собеседников, но весьма последовательно по"
голос графа из-за двери. – ты не спишь?,голос графа из-за двери. – ты не спишь?
"с другом: он хотел как-нибудь ущипнуть, толкнуть бориса, но только","с другом: он хотел как-нибудь ущипнуть, толкнуть бориса, но только"
теперь и имеет еще совершиться в спальне. пьер не,теперь и имеет еще совершиться в спальне. пьер не
"подвыванием, которое служит признаком гона по волку. доезжачие e;t","подвыванием, которое служит признаком гона по волку. доезжачие уже"
"собой привез. бесподобно, говорят, семенова играет, – говорил илья андреич. –","собой привез. бесподобно, говорят, семенова играет, – говорил илья андреич. –"
"тех, которые гонят, и за тех, которые покровительствуют: выше этой bcnbys и жизни нет истины","тех, которые гонят, и за тех, которые покровительствуют: выше этой истины и жизни нет истины"
одеты. наташа ехала на gthdsq большой бал,одеты. наташа ехала на первый большой бал
"деревни, но орудия тушина не vjukb двинуться, и артиллеристы, тушин и юнкер молча переглядывались, ожидая","деревни, но орудия тушина не могли двинуться, и артиллеристы, тушин и юнкер молча переглядывались, ожидая"
"казалось, cnhfyyj быть от него","казалось, странно быть от него"
"hfpltkbkf эти общие воспоминания, и даже","разделила эти общие воспоминания, и даже"
"gjdthbk ей и пошел спросить, правда ли? – уж эта барышня! – сказал","поверил ей и пошел спросить, правда ли? – уж эта барышня! – сказал"
и улюлюканье данилы. uhfa оглянулся,и улюлюканье данилы. граф оглянулся
ему ни говорили. – ежели бы jy мог,ему ни говорили. – ежели бы он мог
что причиною тому буонапарте. и вот почему: здоровье отца,что причиною тому буонапарте. и вот почему: здоровье отца
"поняли друг друга в отношении первой части романа,","поняли друг друга в отношении первой части романа,"
"балага стал сдерживать и, вернувшись назад, остановил лошадей у перекрестка старой конюшенной.","балага стал сдерживать и, вернувшись назад, остановил лошадей у перекрестка старой конюшенной."
"двадцати шагов b николай ясно, до всех подробностей,","двадцати шагов и николай ясно, до всех подробностей,"
"сказал hbnjh после минутного молчания. – да, да, –","сказал ритор после минутного молчания. – да, да, –"
"вошла. «гадко, скверно… в моем доме, мерзавка, девчонка… только отца жалко! –","вошла. «гадко, скверно… в моем доме, мерзавка, девчонка… только отца жалко! –"
"князь волконский и строганов, b","князь волконский и строганов, и"
"точно так же, как jyf делала это на марсовом поле,","точно так же, как она делала это на марсовом поле,"
"тогда они били gj них картечью. маленький человек, с слабыми, неловкими движениями, требовал себе","тогда они били по них картечью. маленький человек, с слабыми, неловкими движениями, требовал себе"
"время танцевали, ma chere,[156 - матушка.] –","время танцевали, ma chere,[156 - матушка.] –"
"засмеялся, dsitk совсем из двери коровника, сдернул колпак","засмеялся, вышел совсем из двери коровника, сдернул колпак"
"приходить в себя и jukzlsdfnm комнату, где он","приходить в себя и оглядывать комнату, где он"
"yt думая сбивать и обещая еще и еще наддать, когда понадобится. николай догнал первую тройку.","не думая сбивать и обещая еще и еще наддать, когда понадобится. николай догнал первую тройку."
ее оживленное лицо. – кончено! – сказал борис. – навсегда? – сказала девочка. – до,ее оживленное лицо. – кончено! – сказал борис. – навсегда? – сказала девочка. – до
"удивленью своему, княжна марья стала замечать,","удивленью своему, княжна марья стала замечать,"
"целый рой соответствующих этому ощущению воспоминаний, ;tkfybq и волнений. две замечательно хорошенькие девушки, наташа и","целый рой соответствующих этому ощущению воспоминаний, желаний и волнений. две замечательно хорошенькие девушки, наташа и"
красное в белых трясущихся руках марьи богдановны. через ldf часа после этого князь андрей тихими,красное в белых трясущихся руках марьи богдановны. через два часа после этого князь андрей тихими
"убьют того, кого пошлют (что было очень вероятно), и ежели он даже","убьют того, кого пошлют (что было очень вероятно), и ежели он даже"
"поднявшаяся в нем работа, не разрешаясь, все так же томила его.","поднявшаяся в нем работа, не разрешаясь, все так же томила его."
"– нет, ты посмотри, что за луна!.. ах, какая прелесть! ты поди сюда. душенька, голубушка,","– нет, ты посмотри, что за луна!.. ах, какая прелесть! ты поди сюда. душенька, голубушка,"
"колонна неприятеля. еще дым первого dscnhtkf не рассеялся, как показался другой дымок","колонна неприятеля. еще дым первого выстрела не рассеялся, как показался другой дымок"
"как он любил работу, только тогда, когда разговор мог быть изящно-остроумен. в обществе","как он любил работу, только тогда, когда разговор мог быть изящно-остроумен. в обществе"
"так? и не говори, не говори, не говори! – право, брось! ты","так? и не говори, не говори, не говори! – право, брось! ты"
